mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
bivar_poisson_expected_awmae,5,0.25,0.06,0.5,0.25,2.9556045087317826,1.013074384361513,0.1164001015486164,0.5925996445798426,0.22296268088347296
bivar_poisson_expected_awmae,4,0.25,0.15,0.5,0.0,2.9556095202517474,1.0133917237877634,0.11176694592536177,0.5946306169078446,0.22353389185072353
bivar_poisson_expected_awmae,4,0.5,0.15,0.5,0.25,2.955673726220571,1.0138359989845138,0.11684437674536684,0.5922188372683422,0.22493018532622494
bivar_poisson_expected_awmae,5,0.25,0.0,0.5,0.25,2.9557185451270387,1.0137407971566388,0.11684437674536684,0.5937420665143437,0.2222010662604722
bivar_poisson_expected_awmae,4,1.0,0.15,0.5,0.5,2.9559029264605847,1.0154544300583905,0.11951002792586951,0.5916476263010917,0.22537446052297538
bivar_poisson_expected_awmae,4,1.0,0.1,0.5,0.5,2.9559223340580645,1.0161525767961412,0.11931962427011931,0.5926631124650926,0.22581873571972583
bivar_poisson_expected_awmae,5,1.0,0.1,0.5,0.0,2.9560913744588464,1.0123762376237624,0.10637217567910637,0.5981848184818482,0.21553693830921553
bivar_poisson_expected_awmae,5,0.25,0.15,0.5,0.25,2.9561277692868684,1.0115194211728866,0.11671744097486672,0.5905686722518406,0.2241051028179741
bivar_poisson_expected_awmae,5,0.75,0.0,0.0,0.5,2.95613305590896,1.0163747143945163,0.12357197258187357,0.5792079207920792,0.24562071591774562
bivar_poisson_expected_awmae,5,0.0,0.03,0.0,0.0,2.9562148947864477,1.0093615130743843,0.11265549631886265,0.5783193703985783,0.23603706524498605
bivar_poisson_expected_awmae,5,1.0,0.15,0.5,0.0,2.956291419015772,1.010979944148261,0.10624523990860625,0.5967250571210967,0.21464838791571464
bivar_poisson_expected_awmae,4,1.0,0.1,0.0,0.5,2.9563244093014465,1.0177075399847677,0.1243970550901244,0.5804138106118304,0.24485910129474486
bivar_poisson_expected_awmae,4,0.25,0.06,0.5,0.25,2.9563340674194,1.0150736227468902,0.11684437674536684,0.5922823051535923,0.2242955064737243
bivar_poisson_expected_awmae,5,0.75,0.03,0.0,0.5,2.956360099388363,1.0152640264026402,0.12401624777862402,0.5780654988575781,0.24523990860624523
bivar_poisson_expected_awmae,4,0.25,0.03,0.5,0.25,2.9564923042186995,1.0153592282305153,0.11671744097486672,0.5925996445798426,0.22404163493272405
bivar_poisson_expected_awmae,5,0.5,0.06,0.5,0.5,2.9565075771121534,1.0145976136075145,0.1202081746636202,0.5901878649403401,0.22677075399847677
bivar_poisson_expected_awmae,5,0.75,0.06,0.0,0.5,2.9565914733915237,1.01494668697639,0.1243970550901244,0.5774308200050774,0.2453033764914953
bivar_poisson_expected_awmae,4,0.0,0.0,0.0,0.0,2.9568525761474436,1.0111703478040113,0.11455953287636456,0.5761614623000761,0.2388931200812389
bivar_poisson_expected_awmae,5,0.5,0.1,0.5,0.0,2.9577139807435358,1.012947448591013,0.10694338664635694,0.5964077176948465,0.21832952526021834
bivar_poisson_expected_awmae,4,0.5,0.0,0.5,0.5,2.9578716958668787,1.017961411525768,0.12001777100787002,0.5920919014978421,0.22702462553947703
bivar_poisson_expected_awmae,4,0.25,0.0,0.5,0.0,2.957999128513432,1.015962173140391,0.11138613861386139,0.5962807819243463,0.2218202589489718
bivar_poisson_expected_awmae,5,0.75,0.15,0.5,0.0,2.9580287875645257,1.011900228484387,0.10713379030210714,0.5960903782685961,0.2164254887027164
