mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,dixon_rho,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
dixon_bivar_expected_awmae,5,0.5,0.0,0.0,0.0,0.1,2.9269333482239097,1.0124714394516374,0.10808580858085809,0.5948210205635949,0.2322924600152323
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.0,0.1,2.926981396376657,1.01002792586951,0.10802234069560802,0.5945036811373445,0.23083269865448083
dixon_bivar_expected_awmae,4,0.75,0.15,0.0,0.0,0.15,2.9270809405484304,1.0118050266565117,0.11075145976136075,0.592980451891343,0.23432343234323433
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.0,0.05,2.9271074878855936,1.0092028433612592,0.10935516628585935,0.5934247270880935,0.23165778116273167
dixon_bivar_expected_awmae,4,0.75,0.0,0.0,0.0,-0.05,2.9271617140287205,1.010916476263011,0.11348057882711349,0.5892993145468393,0.2394008631632394
dixon_bivar_expected_awmae,4,1.0,0.0,0.0,0.0,0.1,2.92721130926717,1.01494668697639,0.10941863417110942,0.594059405940594,0.23267326732673269
dixon_bivar_expected_awmae,5,0.75,0.1,0.0,0.0,0.1,2.9272290652828783,1.0103135313531353,0.10865701954810866,0.593995938055344,0.23197512058898198
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.0,-0.05,2.927305689562559,1.0085046966235085,0.11138613861386139,0.5924092409240924,0.23438690022848438
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.25,0.15,2.927317387979147,1.0139629347550139,0.11678090886011679,0.5916476263010917,0.2383853769992384
dixon_bivar_expected_awmae,5,0.5,0.06,0.0,0.0,0.0,2.9273892694549635,1.0075844122873825,0.1117034780401117,0.5905052043665905,0.23692561563848694
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.25,0.0,2.927490921112076,1.008980705762884,0.1172886519421173,0.587966488956588,0.2400990099009901
dixon_bivar_expected_awmae,5,0.5,0.15,0.0,0.0,-0.1,2.9275852619522187,1.0024435135821275,0.11329017517136329,0.5823178471693323,0.23705255140898704
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.25,0.15,2.9277203941517596,1.0147562833206398,0.11633663366336634,0.5916476263010917,0.23863924854023863
dixon_bivar_expected_awmae,4,0.75,0.1,0.0,0.0,0.15,2.9278298917097008,1.0128205128205128,0.11068799187611068,0.5931073876618431,0.23324447829398323
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.0,0.1,2.927861094310457,1.0137725310992638,0.10662604722010663,0.5966615892358467,0.23051535922823052
dixon_bivar_expected_awmae,4,0.75,0.06,0.0,0.0,-0.05,2.9278675931756015,1.0094249809596345,0.11367098248286367,0.5875222137598375,0.23971820258948973
dixon_bivar_expected_awmae,5,0.75,0.1,0.0,0.25,0.15,2.9278906106252616,1.009869256156385,0.1157019548108657,0.5893627824320894,0.2373064229499873
dixon_bivar_expected_awmae,5,0.5,0.03,0.0,0.0,-0.05,2.9279094299599406,1.007076669205382,0.11227468900736227,0.5894897182025894,0.23717948717948717
dixon_bivar_expected_awmae,5,0.75,0.0,0.0,0.0,0.05,2.9279389429135496,1.0113290175171363,0.10897435897435898,0.5938690022848438,0.2322924600152323
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.25,0.0,2.9279651970136,1.0101865955826352,0.11747905559786748,0.5889185072353389,0.2411144960649911
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.25,0.15,2.9280036530549665,1.0153274942878903,0.11544808326986544,0.5919014978420919,0.23832190911398832
dixon_bivar_expected_awmae,4,0.75,0.0,0.0,0.0,0.05,2.928040751500712,1.0137090632140138,0.11132267072861132,0.5919014978420919,0.2366082762122366
