max_score,draw_margin,outcome_weight,gd_weight,prior_weight,mode,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
5,0.2,0.35,0.0,0.03,outcome_aware,3.0204642767751726,1.0259282767375437,0.09698508410028563,0.5725801332910188,0.22995874325610918
7,0.3,0.35,0.1,0.03,outcome_aware,3.0205337257683205,1.0172008886067916,0.10047603935258648,0.5636940653760711,0.23529038400507776
6,0.3,0.35,0.03,0.01,outcome_aware,3.0205945161111036,1.0178356077435735,0.10028562361155188,0.5647730879086005,0.23503649635036497
5,0.2,0.35,0.1,0.0,outcome_aware,3.0205954020933925,1.024468422722945,0.09761980323706759,0.570739447794351,0.2315455410980641
7,0.2,0.35,0.0,0.0,outcome_aware,3.020595587924205,1.0262773722627738,0.09635036496350365,0.5730244366867661,0.22856236115518883
6,0.0,0.2,0.1,0.03,outcome_aware,3.020617109945094,1.015423675023802,0.10028562361155188,0.5564582672167566,0.23560774357346875
6,0.3,0.35,0.03,0.03,outcome_aware,3.0207250750421437,1.0174547762615043,0.10066645509362107,0.5645192002538877,0.23509996826404317
5,0.3,0.35,0.03,0.06,outcome_aware,3.020788619791229,1.017645192002539,0.10028562361155188,0.5643922564265312,0.23567121548714695
7,0.3,0.35,0.1,0.06,outcome_aware,3.020827705464273,1.017073944779435,0.10060298317994287,0.5631862900666456,0.23567121548714695
7,0.3,0.35,0.03,0.03,outcome_aware,3.0208791607723087,1.017645192002539,0.10047603935258648,0.5645192002538877,0.23490955252300857
7,0.3,0.35,0.03,0.01,outcome_aware,3.020902085317235,1.018057759441447,0.10015867978419549,0.5647730879086005,0.23490955252300857
7,0.0,0.2,0.1,0.03,outcome_aware,3.020947917918818,1.0156458267216757,0.10015867978419549,0.5564582672167566,0.23548079974611236
6,0.0,0.2,0.06,0.06,outcome_aware,3.0209597337902627,1.0152649952396064,0.10072992700729927,0.5564582672167566,0.2361155188828943
5,0.0,0.2,0.03,0.06,outcome_aware,3.0210649768800226,1.0161536020311013,0.09971437638844811,0.5568390986988258,0.23529038400507776
6,0.0,0.2,0.06,0.03,outcome_aware,3.0211374194607408,1.0161853379879404,0.09984132021580451,0.5572834020945732,0.23478260869565218
5,0.1,0.35,0.03,0.01,outcome_aware,3.0211576911991873,1.0301174230403047,0.09539828625833069,0.5772135829895272,0.22621390034909553
6,0.3,0.35,0.0,0.03,outcome_aware,3.021181742728037,1.0180260234846081,0.10028562361155188,0.5645826721675659,0.23535385591875596
